MPI_nutri;MPI_scatmnt;MPI_chscatt;MPI_sanit;MPI_floor;MPI_ckfuel;MPI_asset;MPI_water;MPI_elec;strate
0;0;1;0;0;0;0;1;0;Kanem/Lac/Barh-El-Gazel
1;0;1;0;0;0;0;1;0;Kanem/Lac/Barh-El-Gazel
0;0;1;0;0;0;1;1;0;Kanem/Lac/Barh-El-Gazel
1;0;1;0;0;0;0;1;0;Kanem/Lac/Barh-El-Gazel
1;0;1;0;0;0;0;1;0;Kanem/Lac/Barh-El-Gazel
0;0;0;0;0;0;0;1;0;Kanem/Lac/Barh-El-Gazel
0;0;0;0;0;0;1;1;0;Kanem/Lac/Barh-El-Gazel
1;0;1;0;0;0;0;0;0;Kanem/Lac/Barh-El-Gazel
1;0;0;0;0;0;0;0;0;Kanem/Lac/Barh-El-Gazel
1;0;0;0;0;0;0;0;0;Kanem/Lac/Barh-El-Gazel
1;0;1;0;0;0;0;0;0;Kanem/Lac/Barh-El-Gazel
1;0;0;0;0;0;1;0;0;Kanem/Lac/Barh-El-Gazel
1;0;0;0;0;0;0;0;0;Kanem/Lac/Barh-El-Gazel
1;0;1;0;0;0;0;0;0;Kanem/Lac/Barh-El-Gazel
1;0;1;0;0;0;0;0;0;Kanem/Lac/Barh-El-Gazel
1;0;0;0;0;0;0;0;0;Kanem/Lac/Barh-El-Gazel
1;0;0;0;0;0;0;0;0;Kanem/Lac/Barh-El-Gazel
1;0;0;1;0;0;1;0;0;Kanem/Lac/Barh-El-Gazel
1;0;0;0;0;0;1;0;0;Kanem/Lac/Barh-El-Gazel
1;1;0;0;0;0;1;0;0;Kanem/Lac/Barh-El-Gazel
1;0;0;0;0;0;0;0;0;Kanem/Lac/Barh-El-Gazel
1;0;0;0;0;0;1;0;0;Kanem/Lac/Barh-El-Gazel
1;0;1;0;0;0;1;0;0;Kanem/Lac/Barh-El-Gazel
0;0;1;1;0;0;1;1;0;Kanem/Lac/Barh-El-Gazel
1;0;1;0;0;0;0;0;0;Kanem/Lac/Barh-El-Gazel
